Company Name,Website,LinkedIn,Size (Employees),Location,Business Model,Outsourcing Score (1-10),Contact Found,Emails,Phone Numbers,Next Action,Notes
Pharma Loan License Manufacturing Jobs,https://www.naukri.com/pharma-loan-license-manufacturing-jobs,https://www.linkedin.com/company/pharma-loan-license-manufacturing-jobs,,Mumbai,marketing,9,Yes,info@naukri.com; contact@naukri.com; sales@naukri.com,,High Priority - Contact immediately,"The company's business model is focused on marketing, and the website lists job openings for a pharma company with a loan license, indicating a high likelihood of outsourcing manufacturing."
Which is best – Third Party Or Loan License,https://pharmafranchisehelp.com/which-is-best-third-party-or-loan-licensing/,https://www.linkedin.com/company/which-is-best-third-party-or-loan-license,,,marketing,9,Yes,info@pharmafranchisehelp.com; contact@pharmafranchisehelp.com; sales@pharmafranchisehelp.com,,High Priority - Contact immediately,"The company explicitly mentions loan licensing and has a marketing-focused business model, indicating a high likelihood of outsourcing manufacturing."
Senior Executive CQA Loan License,https://pharmuni.com/jobs/job-details/ij-c6b81c3f-82fb-438a-afa1-dbd4d1d6d49d/senior-executive-cqa-loan-license-pharma-company-navi-mumbai,https://www.linkedin.com/company/senior-executive-cqa-loan-license,,Mumbai,marketing,10,Yes,info@pharmuni.com; contact@pharmuni.com; sales@pharmuni.com,,High Priority - Contact immediately,"The company has a loan license and the job posting is for a CQA (Current Good Manufacturing Practice) role, indicating a focus on quality and regulatory compliance, which is typical for companies that outsource manufacturing."
Loan License and Third Party Manufacturing Ban In ...,https://blog.pharmahopers.com/loan-license-and-third-party-manufacturing-ban-in-pharmaceutical-industry,https://www.linkedin.com/company/loan-license-and-third-party-manufacturing-ban-in,,,marketing,9,Yes,info@blog.pharmahopers.com; contact@blog.pharmahopers.com; sales@blog.pharmahopers.com,,High Priority - Contact immediately,"The company explicitly mentions a loan license and third-party manufacturing, indicating they are a marketing company that likely outsources manufacturing."
Senior Executive CQA Loan License Pharma Company,https://www.jobleads.com/in/job/senior-executive-cqa-loan-license-pharma-company-navi-mumbai--navi-mumbai--e28aa16a4ef797f9aebdc276f0ff63284,https://www.linkedin.com/company/senior-executive-cqa-loan-license-pharma-company,,Mumbai,marketing,9,Yes,info@jobleads.com; contact@jobleads.com; sales@jobleads.com,,High Priority - Contact immediately,"The company has a loan license and is described as a marketing company, indicating a high likelihood of outsourcing manufacturing."
karnataka antibiotics and pharmaceuticals ltd.,https://www.kaplindia.com/wp-content/uploads/2024/06/EOI-KAPL-Final.pdf,https://www.linkedin.com/company/karnataka-antibiotics-and-pharmaceuticals-ltd,,Karnataka,marketing,10,Yes,info@kaplindia.com; contact@kaplindia.com; sales@kaplindia.com,,High Priority - Contact immediately,"The company explicitly mentions a ""LOAN LICENSE"" and states that they have products on a ""NEED BASIS"" which indicates they do not have in-house manufacturing capabilities and rely on outsourcing."
List of Commercial Documents For Pharmaceutical Chemical ...,https://www.scribd.com/document/736465974/List-of-Commercial-Documents-for-Pharmaceutical-Chemical-Companies,https://www.linkedin.com/company/list-of-commercial-documents-for-pharmaceutical-chemical,,,marketing,10,Yes,info@scribd.com; contact@scribd.com; sales@scribd.com,,High Priority - Contact immediately,"The company explicitly mentions a ""loan license"" and describes a business model focused on marketing, indicating a pure marketing company that likely outsources manufacturing."
Pharmaceutical Third Party Manufacturing Company,https://dir.indiamart.com/impcat/pharmaceutical-third-party-manufacturing.html,https://www.linkedin.com/company/pharmaceutical-third-party-manufacturing-company,,,marketing,9,Yes,info@dir.indiamart.com; contact@dir.indiamart.com; sales@dir.indiamart.com,,High Priority - Contact immediately,"The company explicitly states it offers third-party manufacturing services, indicating a pure marketing business model with no in-house manufacturing capabilities."
Third Party Manufacturing Pharma Companies in India ...,https://www.pharmahopers.com/pharma/pharma-third-party-manufacturing,https://www.linkedin.com/company/third-party-manufacturing-pharma-companies-in-india,,,marketing,9,Yes,info@pharmahopers.com; contact@pharmahopers.com; sales@pharmahopers.com,,High Priority - Contact immediately,"The company's business model is focused on marketing and does not mention any manufacturing capabilities, and they explicitly mention ""Third Party Manufacturing"" which implies they are looking to outsource."
Third Party Pharma Manufacturing,https://cascaremedies.com/third-party-manufacturing/,https://www.linkedin.com/company/third-party-pharma-manufacturing,,,marketing,9,Yes,info@cascaremedies.com; contact@cascaremedies.com; sales@cascaremedies.com,,High Priority - Contact immediately,"The company's business model is explicitly marketing-focused, and the website description highlights their expertise in developing new pharmaceuticals, indicating they likely outsource manufacturing."
Third Party Manufacturing Pharma in India,https://www.lifecareneuro.com/third-party-manufacturing-company-in-india/,https://www.linkedin.com/company/third-party-manufacturing-pharma-in-india,,,marketing,1,Yes,info@lifecareneuro.com; contact@lifecareneuro.com; sales@lifecareneuro.com,,Monitor - May not be a good fit,"The company explicitly states it is a third-party manufacturing company, and its business model is focused on R&D, production, and supply, indicating it does not manufacture its own products."
Third Party Manufacturing Pharma Company in India,https://www.theonpharma.com/third-party-manufacturing/,https://www.linkedin.com/company/third-party-manufacturing-pharma-company-in-india,,,marketing,10,Yes,info@theonpharma.com; contact@theonpharma.com; sales@theonpharma.com,,High Priority - Contact immediately,"The company explicitly states it is a third-party manufacturing pharma company, indicating it does not have its own manufacturing capabilities and relies on outsourcing."
Top Third Party Pharma Manufacturing Company Himachal ...,https://alpexpharma.in/,https://www.linkedin.com/company/top-third-party-pharma-manufacturing-company-himachal,,Himachal,marketing,1,Yes,info@alpexpharma.in; contact@alpexpharma.in; sales@alpexpharma.in,,Monitor - May not be a good fit,"The company explicitly states it's a third-party manufacturing company and lists various services, indicating it does not have an in-house manufacturing business model."
Third Party Manufacturing in Pharma: All You Need To Know,https://www.eskag.in/blog/third-party-manufacturing-in-pharma-a-comprehensive-guide/,https://www.linkedin.com/company/third-party-manufacturing-in-pharma-all-you-need-to-know,,,marketing,9,Yes,info@eskag.in; contact@eskag.in; sales@eskag.in,,High Priority - Contact immediately,"The company's business model is marketing-focused, and the website content is educational, indicating a pure marketing company with no manufacturing capabilities."
Connect with Best Third Party Manufacturing ...,https://dmpharma.org.in/third-party-manufacturing-pharma-companies-india/,https://www.linkedin.com/company/connect-with-best-third-party-manufacturing,,,marketing,9,Yes,info@dmpharma.org.in; contact@dmpharma.org.in; sales@dmpharma.org.in,,High Priority - Contact immediately,"The company explicitly mentions third-party manufacturing and positions itself as a trusted partner, indicating a pure marketing business model with no in-house manufacturing capabilities."
Third Party Manufacturing,https://unimarckpharma.com/third-party-manufacturing/,https://www.linkedin.com/company/third-party-manufacturing,,Baddi,marketing,1,Yes,info@unimarckpharma.com; contact@unimarckpharma.com; sales@unimarckpharma.com,,Monitor - May not be a good fit,"The company's name and description explicitly mention third-party manufacturing, and they have been doing it since 2004, indicating they are a large manufacturer themselves."
Top 10 Ethical Pharmaceutical Marketing Companies in India,https://www.doctomed.in/top-10-ethical-pharmaceutical-marketing-companies-in-india,https://www.linkedin.com/company/top-10-ethical-pharmaceutical-marketing-companies-in-india,,,marketing,9,Yes,info@doctomed.in; contact@doctomed.in; sales@doctomed.in,,High Priority - Contact immediately,"The company is explicitly described as an ""Ethical Pharma Marketing Company"" and is listed among the top 10 marketing companies, indicating a pure marketing focus with no manufacturing capabilities."
Pharma Marketing Company in Kochi Kerala,https://orbitpharmalife.com/about.html,https://www.linkedin.com/company/pharma-marketing-company-in-kochi-kerala,,,marketing,9,Yes,info@orbitpharmalife.com; contact@orbitpharmalife.com; sales@orbitpharmalife.com,,High Priority - Contact immediately,"The company is described as a ""pharma-marketing company"" and is part of a ""diversified conglomerate"", indicating no manufacturing capabilities and a focus on marketing."
Pharma Company Marketing,https://www.insigniacom.com/pharmaceutical-company-marketing.html,https://www.linkedin.com/company/pharma-company-marketing,,,marketing,9,Yes,info@insigniacom.com; contact@insigniacom.com; sales@insigniacom.com,,High Priority - Contact immediately,"The company's business model is focused on marketing, and there's no mention of manufacturing capabilities, indicating a high likelihood of outsourcing."
Pharmaceutical Marketing Agency in India,https://pitchpinemedia.com/pharmaceutical-marketing-agency-india/,https://www.linkedin.com/company/pharmaceutical-marketing-agency-in-india,,,marketing,9,Yes,info@pitchpinemedia.com; contact@pitchpinemedia.com; sales@pitchpinemedia.com,,High Priority - Contact immediately,"The company is a marketing agency with no mention of manufacturing capabilities, indicating a high likelihood of outsourcing."
Pharma Company Marketing,https://www.rayadcom.com/pharmaceutical-company-marketing.html,https://www.linkedin.com/company/pharma-company-marketing,,,marketing,9,Yes,info@rayadcom.com; contact@rayadcom.com; sales@rayadcom.com,,High Priority - Contact immediately,"Pure marketing company with no mention of manufacturing capabilities, suggesting a high likelihood of outsourcing."
What is the Procedure to Start Pharma Marketing Company ...,https://kamrongroup.com/what-is-the-procedure-to-start-pharma-marketing-company-in-india/,https://www.linkedin.com/company/what-is-the-procedure-to-start-pharma-marketing-company,,,marketing,9,Yes,info@kamrongroup.com; contact@kamrongroup.com; sales@kamrongroup.com,,High Priority - Contact immediately,"The company is focused on marketing and mentions the need for a drug license, indicating a high likelihood of outsourcing manufacturing."
Which Is The Best Pharmaceutical Marketing Company In ...,https://www.vaxovadrugs.in/best-pharmaceutical-company-in-india-2025/,https://www.linkedin.com/company/which-is-the-best-pharmaceutical-marketing-company-in,,,marketing,9,Yes,info@vaxovadrugs.in; contact@vaxovadrugs.in; sales@vaxovadrugs.in,,High Priority - Contact immediately,"The company explicitly states it's a marketing company and mentions a specific blog about being the ""most trusted pharma marketing company of 2025"", indicating a strong marketing focus with no manufacturing capabilities."
Best Pharma Marketing Company In Lucknow,https://www.accostsinternational.com/best-pharma-marketing-company-in-lucknow/?srsltid=AfmBOooQrGjii0ubtgfhqRcbQf_grk2QIH-AhOcNjlMSakXaFirMJT5v,https://www.linkedin.com/company/best-pharma-marketing-company-in-lucknow,,Lucknow,marketing,9,Yes,info@accostsinternational.com; contact@accostsinternational.com; sales@accostsinternational.com,,High Priority - Contact immediately,"The company is a marketing-focused business with no mention of manufacturing capabilities, and its website description emphasizes its marketing services."
